start,end,distance,time,service
65229,65009,0.5,2,84
65009,65341,0.6,2,119
65341,65331,0.3,1,119
65331,65431,0.3,1,119
65439,65339,0.3,1,119
65339,65349,0.3,1,119
65349,65009,0.5,2,119
65009,65359,0.6,2,382W
65359,65489,0.3,1,382W
65489,65469,0.8,3,382W
65469,65459,0.5,2,382W
65459,65449,0.3,1,382W
65449,65499,0.4,2,382W
65499,65539,0.4,2,382W
65539,65549,0.4,2,382W
65549,65559,0.2,1,382W
65559,65579,0.4,2,382W
65579,65339,0.2,1,382W
65339,65349,0.3,1,382W
65349,65009,0.5,2,382W
65009,65341,0.6,2,382G
65341,65331,0.3,1,382G
65331,65571,0.3,1,382G
65571,65551,0.3,1,382G
65551,65541,0.3,1,382G
65541,65531,0.4,2,382G
65531,65491,0.4,2,382G
65491,65441,0.4,2,382G
65441,65451,0.3,1,382G
65451,65461,0.5,2,382G
65461,65481,0.7,3,382G
65481,65351,0.3,1,382G
65351,65009,0.5,2,382G
65009,65259,0.4,2,43
65259,65409,0.3,1,43
65409,65141,0.4,2,43
65141,65431,0.2,1,43
65439,65149,0.4,2,43
65149,65401,0.3,1,43
65401,65009,0.7,3,43
65009,65259,0.4,2,43M
65259,65409,0.3,1,43M
65409,65141,0.4,2,43M
65141,65431,0.2,1,43M
65439,65149,0.4,2,43M
65149,65401,0.3,1,43M
65401,65009,0.7,3,43M
65009,65259,0.4,2,43e
65259,65409,0.3,1,43e
65409,65141,0.4,2,43e
65141,65431,0.2,1,43e
65439,65149,0.4,2,43e
65149,65401,0.3,1,43e
65401,65009,0.7,3,43e
65009,65259,0.4,2,117
65259,65409,0.3,1,117
65409,65141,0.4,2,117
65141,65431,0.2,1,117
65439,65149,0.4,2,117
65149,65401,0.3,1,117
65401,65009,0.7,3,117
